stn,name,cohort,lat,lon,is_nbcn,elev,elev_diff,mae,bias,crps,mae_ref_raw,mae_ref_corr,skill_raw,skill_corr,z_std,cov90,pit_mean,pit_std,mae_tail,bias_tail,cov90_tail,n_days
COM,Acquarossa / Comprovasco,smn,46.459517,8.935486,False,575.0,-972.1046863843717,2.153545618057251,-1.0326675176620483,1.656373355808924,9.876708030700684,3.7530040706040966,0.8322949964036331,0.5586539943341153,1.9298497438430786,0.5420944558521561,0.6532323108136454,0.3625909478535319,1.6878944635391235,-1.3831193447113037,0.543046357615894,1461
COV,Piz Corvatsch,smn,46.418039,9.821308,False,3294.0,743.3666709269787,1.9150296449661255,1.4599181413650513,1.3872153777762695,4.977697372436523,2.310268482808107,0.7213138377078067,0.3995436512685644,1.2280911207199097,0.6411318150448585,0.2506871202619149,0.2808119476023552,1.793548345565796,1.6281726360321045,0.668918918918919,1449
COY,Courtelary,smn,47.180811,7.090656,False,695.0,-286.011094795512,1.0671443939208984,-0.26138097047805786,0.7740737110592988,2.032565116882324,1.1748292183805509,0.6191641268317044,0.3411180970402451,1.153557538986206,0.865160848733744,0.5931416560546947,0.28418385684468006,0.9587985873222351,-0.7639133334159851,0.8299319727891157,1461
CRM,Cressier,smn,47.047581,7.059147,False,430.0,-261.37791642682646,0.9751300811767578,-0.1289277821779251,0.7089497303694242,2.5822410583496094,1.6290094362401912,0.7254517628874912,0.5647970388644867,1.14126718044281,0.8774811772758385,0.5526605799672406,0.2860954844850065,0.7920719385147095,-0.4422205090522766,0.8940397350993378,1461
DAV,Davos,smn,46.812969,9.843558,True,1594.0,-462.976534910325,1.2136342525482178,-0.0951126292347908,0.8672286076341359,5.137354850769043,2.3419560412368585,0.8311916087508896,0.6296990240789806,1.0289052724838257,0.9021218343600274,0.5281607190710765,0.2850759627428191,1.0821659564971924,-0.5273417830467224,0.8445945945945946,1461
DEM,Delémont,smn,47.351706,7.349567,False,439.0,-254.1297368993496,1.0596880912780762,-0.22396622598171234,0.7845819572673376,2.6876914501190186,1.483891282429559,0.7080833228707879,0.471267223847592,1.2476650476455688,0.8480492813141683,0.5711172002137739,0.28830436558468536,0.8182380199432373,-0.5080330967903137,0.8627450980392157,1461
DIA,Les Diablerets,smn,46.32675,7.203781,False,2964.0,991.0323798777329,2.3813023567199707,1.8039191961288452,1.7688971279450412,6.3492960929870605,2.176875310565099,0.7214026402235632,0.1874145848593184,1.3739612102508545,0.5562543675751223,0.23582630263190624,0.2891598599273617,2.366612672805786,1.9694620370864868,0.5163398692810458,1431
DIS,Disentis,smn,46.706569,8.853478,False,1197.0,-712.5906066278537,1.8785502910614014,-0.8944463729858398,1.3967298346275914,7.546928405761719,3.145856219513413,0.8149273771351462,0.5560096402487107,1.5691946744918823,0.6516084873374401,0.6666018630050454,0.3301848236998023,1.9443244934082031,-1.922919511795044,0.47651006711409394,1461
DOL,La Dôle,smn,46.424794,6.099453,False,1670.0,549.1087095619055,1.7276980876922607,0.7816935181617737,1.2599369942441556,4.404902458190918,1.5465574043814603,0.7139693770287008,0.18532801260741916,1.4230222702026367,0.6817248459958932,0.3271871106269185,0.31936069882020895,1.583528995513916,1.0791767835617065,0.5743243243243243,1461
EBK,Ebnat-Kappel,smn,47.273389,9.108494,False,623.0,-281.48783110273496,0.9470632672309875,-0.09217356890439987,0.6989609503446034,2.297762393951416,1.2587470661451992,0.6958079946888616,0.44471691800235214,1.060908317565918,0.9048596851471595,0.5432643941593979,0.2695593439953413,0.5940673351287842,-0.2662707567214966,0.9387755102040817,1461
